,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,BEST EFF,star
403,2128,David Vanterpool,1610612764,WAS,28,22,6,16,0.273,18.6,2.1,5,0.418,0,0.3,0,1.4,2.3,0.6,0.7,1,1.7,3,1.7,1,0.1,0.5,2,0,5.5,-0.1,13.9,0,0,45,47,34,55,15,15,17,30,33,30,33,11,8,43,27,41,35,1,8,3,36,14,16,1,16,16,14,11,2,5,"21,281,610,612,764",,0
404,2453,Predrag Savovic,1610612743,DEN,27,27,9,18,0.333,9.5,1.1,3.4,0.312,0.1,1,0.154,0.8,1.1,0.724,0.3,0.6,0.9,0.8,0.8,0.5,0,0.3,1.2,0,3.1,-1.4,6.3,0,0,45,44,41,40,41,42,31,52,31,21,42,28,30,29,39,50,47,28,31,20,55,29,39,11,38,42,41,16,2,5,"24,531,610,612,743",,0
405,2435,Mario Kasun,1610612753,ORL,25,44,18,26,0.409,8,1.1,2.2,0.48,0,0,0,0.5,1,0.558,1.2,1.7,2.9,0.2,0.6,0.2,0.3,0.3,2,0,2.7,-0.5,7.3,0,0,29,25,26,41,49,44,50,16,40,52,40,44,38,52,15,28,22,56,40,52,24,41,24,1,48,30,42,23,2,5,"24,351,610,612,753",,0
406,2414,Curtis Borchardt,1610612762,UTA,23,16,8,8,0.5,16.1,1.4,3.5,0.393,0,0.1,0,0.9,1.1,0.778,0.8,2.6,3.4,0.9,1.1,0.3,0.9,0.4,2.5,0,3.6,-1.8,11.3,0,0,50,49,45,24,22,37,31,43,41,47,41,26,31,18,26,14,17,27,17,46,3,28,10,5,35,50,23,24,2,5,"24,141,610,612,762",,0
407,2757,Beno Udrih,1610612759,SAS,22,80,57,23,0.713,14.4,2.2,4.9,0.444,0.7,1.8,0.408,0.8,1.1,0.753,0.2,0.8,1,1.9,1,0.5,0.1,0.3,1.2,0,5.9,1.6,10.9,1,0,8,1,30,7,29,20,20,25,4,10,8,26,32,16,52,45,48,10,21,29,42,42,43,1,20,6,28,14,2,5,"27,571,610,612,759",62,0
408,200766,Marcus Williams,1610612751,NJN,21,79,40,39,0.506,16.6,2.6,6.7,0.395,0.6,2.1,0.282,0.9,1.1,0.847,0.4,1.7,2.1,3.3,1.8,0.4,0,0.5,1.2,1.1,6.8,-0.5,13.6,0,0,5,4,15,27,21,13,11,48,15,12,35,28,38,9,55,23,30,3,3,34,59,14,42,25,14,33,18,23,1,5,"2,007,661,610,612,750",185,0
409,101194,Anthony Roberson,1610612763,MEM,23,16,11,5,0.688,5.5,0.9,1.9,0.452,0.3,0.6,0.5,0.1,0.1,1,0,0.4,0.4,0.3,0.2,0.1,0,0.1,0.4,0.3,2.2,-0.1,3.1,0,0,65,53,72,10,71,57,65,28,24,35,3,75,77,1,81,74,81,59,77,76,63,68,80,78,56,22,74,23,2,5,"1,011,941,610,612,760",,0
410,201805,Chris Hunter,1610612744,GSW,25,60,19,41,0.317,13,1.8,3.6,0.502,0,0.1,0,0.9,1.2,0.754,0.9,1.9,2.8,0.6,0.5,0.2,0.6,0.4,2.2,1.1,4.5,0,10.7,1,0,28,34,11,45,31,31,34,9,42,44,42,28,33,23,15,24,21,34,39,47,5,24,13,28,33,16,30,15,5,5,"2,018,051,610,612,740",,0
411,2035,DerMarr Johnson,1610612737,ATL,21,78,23,55,0.295,16.8,1.9,5,0.374,0.5,1.6,0.323,0.8,1.1,0.736,0.7,1.6,2.3,0.8,1.2,0.6,0.4,0.4,1.7,0,5.1,-2,10.7,0,0,5,20,3,52,20,22,17,45,9,9,21,26,27,19,25,20,22,22,13,18,15,24,26,1,19,47,25,11,2,5,"20,351,610,612,737",156,0
412,101155,Ryan Gomes,1610612738,BOS,23,61,26,35,0.426,22.6,2.8,5.8,0.487,0,0.1,0.333,1.8,2.4,0.752,1.7,3.2,4.9,1,0.9,0.6,0.1,0.5,1.4,1.8,7.6,0,15.9,8,0,23,17,23,49,11,14,16,16,48,51,18,9,7,33,7,7,6,24,26,19,50,14,43,10,14,17,12,5,2,5,"1,011,551,610,612,730",92,0
413,2066,Soumaila Samake,1610612751,NJN,23,34,9,25,0.265,6.6,0.5,1.4,0.375,0,0,0,0.3,0.7,0.417,0.6,0.9,1.6,0,0.1,0.1,0.4,0.2,0.7,0,1.4,-0.7,4.6,0,0,34,39,27,56,52,55,56,44,33,51,33,55,45,56,31,47,39,63,66,59,13,48,56,1,55,26,51,11,2,5,"20,661,610,612,751",,0
414,2749,Jameer Nelson,1610612753,ORL,23,79,34,45,0.43,20.4,3.6,7.9,0.455,0.6,1.8,0.312,0.9,1.4,0.682,0.7,1.8,2.4,3,1.5,1,0,0.5,2.5,0,8.7,-1.4,17.7,1,0,11,14,11,36,14,9,8,20,10,9,21,24,24,35,32,26,29,4,11,6,53,17,13,1,10,45,11,14,2,5,"27,491,610,612,753",81,0
415,201595,Joey Dorsey,1610612745,HOU,25,3,2,1,0.667,2.1,0.3,0.7,0.5,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0.3,0,0,0.7,-0.7,1.6,0,0,60,57,58,11,60,58,60,14,34,49,34,55,57,55,58,56,57,47,59,58,53,32,61,57,59,28,59,23,2,5,"2,015,951,610,612,740",254,0
416,1609,Art Long,1610612758,SAC,28,9,8,1,0.889,2.1,0,0.4,0,0,0,0,0,0.2,0,0.2,0.7,0.9,0.1,0.2,0,0.3,0.1,0.6,0,0,-1,2,0,0,53,42,62,3,67,66,67,66,33,51,33,60,61,60,53,56,55,58,61,60,17,55,58,1,66,30,63,11,2,5,"16,091,610,612,758",,0
417,200978,Jeremy Richardson,1610612757,POR,23,6,4,2,0.667,3.3,0.5,1,0.5,0.3,0.5,0.667,0,0,0,0.2,0.2,0.3,0,0.2,0.2,0,0,0.3,0,1.3,0,2.1,0,0,71,62,74,8,78,69,74,17,23,39,1,75,76,75,66,77,77,73,75,56,63,71,77,78,69,21,75,23,1,5,"2,009,781,610,612,750",,0
